10000 17600
12 294 16
12 366 13
12 437 6
12 487 13
12 493 5
12 602 9
12 662 11
13 377 18
13 125 17
13 306 19
13 623 17
13 658 10
14 127 13
14 87 19
14 270 19
14 391 7
14 687 10
15 468 17
15 147 10
15 244 17
15 378 12
15 393 6
15 396 20
15 490 6
16 6286 16
16 91 12
16 218 20
16 222 10
16 231 13
16 343 17
16 462 13
16 481 11
16 563 9
16 624 15
17 399 9
17 214 19
17 363 20
17 384 17
17 491 12
17 496 5
17 599 11
17 611 20
17 666 8
17 677 21
18 115 13
18 455 19
18 478 5
18 510 7
18 562 6
18 573 16
18 585 18
18 672 13
19 259 7
19 142 13
19 234 10
19 349 9
19 570 19
20 136 17
20 354 6
20 373 15
20 374 17
20 532 11
20 567 5
21 114 5
21 106 20
21 117 9
21 138 13
21 221 20
21 329 16
21 434 20
21 480 20
21 520 16
21 587 18
21 621 13
21 629 16
22 441 17
22 134 8
22 232 11
22 253 16
22 458 18
22 544 10
22 589 12
23 610 15
23 209 17
23 276 9
23 461 13
23 497 17
24 97 7
24 169 15
24 265 15
24 272 7
24 322 16
24 335 16
24 442 15
24 448 15
24 590 20
24 684 17
25 81 16
25 215 10
25 298 17
25 301 13
25 464 11
25 580 8
26 109 21
26 167 21
26 470 17
26 569 11
26 675 15
27 3728 16
27 351 20
27 303 7
27 316 8
27 385 15
27 438 21
27 669 15
28 3652 10
28 534 17
28 386 6
28 508 14
28 539 9
28 622 9
29 682 9
29 95 19
29 112 7
29 211 11
29 280 7
29 333 8
29 392 9
29 394 17
29 395 6
29 447 19
30 610 5
30 124 12
30 166 11
30 308 17
30 319 5
30 465 21
30 566 12
30 574 11
30 651 10
31 356 17
31 187 17
31 460 19
31 467 7
31 485 5
31 547 18
31 692 19
32 3219 14
32 114 21
32 85 16
32 195 8
32 202 14
32 235 12
32 286 6
32 328 6
32 419 14
32 425 17
32 549 18
32 603 12
33 2095 11
33 383 8
33 199 20
33 237 12
33 238 21
33 260 11
33 296 19
33 409 11
33 420 12
33 578 7
33 633 12
33 643 19
34 495 14
34 107 9
34 137 16
34 158 15
34 332 8
34 382 17
34 554 10
34 591 9
35 307 6
35 159 6
35 226 13
35 304 13
35 375 7
35 389 19
35 431 6
35 558 7
35 560 19
35 660 5
36 302 14
36 113 12
36 198 21
36 219 7
36 240 16
36 264 9
36 379 18
36 423 21
36 650 9
37 130 12
37 164 8
37 361 13
37 498 15
38 9424 9
38 344 16
38 176 18
38 220 18
38 261 6
38 285 6
38 406 7
38 413 8
38 537 18
38 647 21
39 422 20
39 102 9
39 191 8
39 247 19
39 407 14
39 428 7
39 512 16
40 632 5
40 122 10
40 177 17
40 193 10
40 252 16
40 290 18
40 411 12
40 477 9
40 583 13
41 327 9
41 266 5
41 305 16
41 516 21
41 649 9
41 671 6
42 535 13
42 145 14
42 185 18
42 208 19
42 405 19
42 634 13
42 673 8
43 452 20
43 105 9
43 126 14
43 206 11
43 292 14
43 331 14
43 475 15
43 582 8
43 612 15
43 625 18
44 337 19
44 80 19
44 154 6
44 212 9
44 338 7
44 368 9
44 388 16
44 435 18
44 469 21
44 654 9
44 679 14
45 2044 12
45 150 10
45 538 17
45 646 18
46 526 6
46 429 20
46 488 21
46 641 20
46 668 11
47 376 15
47 188 20
47 190 15
47 430 9
47 541 18
48 674 11
48 131 20
48 203 13
48 274 15
48 279 18
48 450 21
49 347 17
49 180 17
49 249 8
49 256 14
49 313 14
49 472 9
49 479 21
49 565 8
49 683 6
49 688 15
50 149 18
50 96 15
50 309 8
50 358 18
50 359 10
50 364 7
50 418 16
50 440 5
50 444 14
51 6845 8
51 288 21
51 175 18
51 213 7
51 291 11
51 341 6
51 527 19
51 586 9
51 640 11
52 598 7
52 132 7
52 186 5
52 281 12
52 402 12
52 533 20
52 545 14
52 665 5
53 2651 9
53 288 15
53 82 10
53 128 8
53 141 14
53 325 7
53 453 13
53 618 14
53 626 7
54 511 18
54 148 15
54 277 9
54 352 16
54 424 6
55 594 21
55 111 16
55 233 6
55 243 5
55 269 21
55 320 17
55 326 18
56 694 12
56 101 18
56 258 21
56 282 19
56 314 20
56 509 8
57 8371 10
57 184 15
57 84 12
57 163 12
57 172 21
57 204 8
57 315 13
57 348 21
57 369 16
57 410 14
57 482 8
57 503 21
57 577 5
57 600 7
58 197 12
58 140 10
58 171 15
58 217 10
58 242 10
58 251 5
58 390 8
58 426 12
58 463 11
58 483 12
58 507 12
58 519 20
58 525 17
58 540 8
58 551 18
58 552 6
59 254 6
59 224 7
59 268 13
59 397 7
59 415 15
59 443 11
59 548 18
59 571 8
59 670 10
60 5608 16
60 637 19
60 223 7
60 295 16
60 330 7
60 365 10
60 370 7
60 504 15
60 528 5
60 529 13
60 550 10
60 568 17
60 635 8
60 652 5
60 655 19
61 4694 5
61 340 6
61 88 20
61 156 21
61 196 12
61 297 19
61 454 16
61 484 14
61 499 10
61 615 15
62 157 21
62 151 15
62 267 7
62 284 8
62 522 18
62 572 7
63 597 10
63 241 5
63 317 12
63 321 5
63 324 17
63 350 7
63 543 18
63 685 18
64 227 21
64 93 10
64 108 17
64 228 10
64 310 11
64 362 14
64 432 8
64 446 16
64 667 15
65 230 5
65 94 21
65 135 17
65 398 11
65 414 15
65 514 16
65 531 5
65 559 11
65 579 13
66 104 8
66 146 16
66 189 17
66 216 13
66 275 21
66 476 9
66 502 16
66 584 19
66 627 9
67 336 5
67 100 9
67 103 5
67 162 21
67 165 7
67 207 16
67 408 11
67 412 5
67 433 16
67 439 15
67 489 17
67 595 14
67 693 9
68 492 9
68 155 15
68 357 18
68 530 20
68 553 8
68 608 11
68 613 6
68 631 6
68 648 20
68 686 19
69 607 20
69 174 13
69 339 19
69 421 15
69 619 13
70 355 11
70 90 9
70 192 17
70 323 12
70 334 10
70 466 9
70 576 11
71 2979 12
71 639 21
71 86 8
71 121 9
71 299 7
71 609 21
71 636 19
72 263 5
72 474 12
72 542 8
72 581 19
72 678 15
73 6623 10
73 557 8
73 89 6
73 517 11
73 536 17
73 555 17
73 588 20
73 606 8
73 620 21
73 630 12
74 262 5
74 144 14
74 239 17
74 250 13
74 271 12
74 457 16
74 680 17
75 518 6
75 139 11
75 451 8
75 513 8
75 681 19
76 9576 20
76 356 8
76 123 21
76 129 14
76 153 8
76 225 16
76 246 15
77 342 16
77 168 11
77 381 15
77 486 8
77 656 12
78 4064 8
78 506 15
78 152 16
78 170 16
78 194 6
78 372 7
78 403 13
78 505 14
78 592 18
78 605 20
78 642 20
79 5077 19
79 416 18
79 83 21
79 255 9
79 289 14
79 387 19
79 663 5
80 718 19
81 8471 17
81 721 5
82 707 8
83 1431 14
83 728 7
84 711 13
85 697 19
86 712 10
87 707 13
88 699 9
89 700 13
90 3175 19
90 704 21
91 697 11
92 3554 16
92 715 16
93 8252 17
93 722 7
94 701 21
95 706 9
96 8693 20
96 705 19
97 727 12
98 710 18
99 697 12
100 718 8
101 701 19
102 722 7
103 4625 10
103 710 5
104 703 13
105 723 9
106 708 5
107 702 12
108 705 9
109 722 21
110 2203 19
110 703 21
111 725 12
112 707 7
113 727 14
114 702 14
115 4661 10
115 715 7
116 721 16
117 4129 21
117 714 7
118 1383 5
118 698 12
119 725 12
120 701 8
121 720 11
122 7451 20
122 717 15
123 722 5
124 712 11
125 706 12
126 708 16
127 721 13
128 4714 7
128 712 9
129 4528 16
129 695 19
130 3112 16
130 706 16
131 706 6
132 727 18
133 6712 9
133 716 12
134 711 6
135 714 8
136 715 9
137 713 21
138 4626 5
138 717 6
139 726 21
140 726 14
141 726 13
142 2654 5
142 716 9
143 723 12
144 716 11
145 709 21
146 713 17
147 711 6
148 2468 9
148 707 12
149 708 12
150 710 19
151 720 21
152 713 11
153 726 16
154 8709 13
154 727 19
155 700 12
156 711 17
157 2418 5
157 698 17
158 714 18
159 703 19
160 719 16
161 721 19
162 720 13
163 716 8
164 726 5
165 710 6
166 698 10
167 715 20
168 2105 17
168 723 5
169 707 21
170 723 21
171 727 5
172 748 14
172 702 16
173 6640 14
173 703 19
174 718 12
175 8122 17
175 726 5
176 696 20
177 719 19
178 718 17
179 6783 16
179 714 15
180 695 14
181 719 5
182 700 18
183 703 18
184 3296 15
184 706 12
185 700 21
186 709 19
187 7048 10
187 717 10
188 713 20
189 727 11
190 705 13
191 721 10
192 707 18
193 709 16
194 728 16
195 698 16
196 705 17
197 713 13
198 701 20
199 712 5
200 708 17
201 701 12
202 710 9
203 708 16
204 709 8
205 720 13
206 1362 12
206 716 16
207 6810 15
207 728 13
208 728 9
209 701 17
210 716 17
211 1252 17
211 696 18
212 699 19
213 728 21
214 700 5
215 716 6
216 704 6
217 6177 21
217 707 9
218 721 7
219 716 14
220 695 8
221 706 10
222 1118 15
222 728 10
223 697 17
224 707 14
225 713 21
226 763 8
226 701 10
227 722 21
228 701 19
229 4060 18
229 704 14
230 724 12
231 7475 5
231 721 11
232 723 20
233 5216 19
233 706 14
234 716 9
235 713 8
236 5110 18
236 704 19
237 715 19
238 2189 14
238 722 19
239 2563 19
239 699 5
240 4263 10
240 695 9
241 716 7
242 725 10
243 5200 9
243 725 19
244 728 9
245 697 13
246 713 7
247 721 16
248 713 20
249 8596 9
249 709 14
250 713 10
251 695 19
252 3486 6
252 707 10
253 8520 12
253 723 18
254 699 15
255 7064 16
255 719 14
256 698 8
257 706 14
258 716 9
259 702 6
260 702 10
261 8155 21
261 719 20
262 700 5
263 3843 12
263 700 17
264 8353 8
264 714 21
265 719 9
266 705 5
267 715 6
268 3755 5
268 719 6
269 696 20
270 726 6
271 715 6
272 719 5
273 717 17
274 703 8
275 727 18
276 3772 11
276 726 18
277 728 9
278 702 5
279 709 15
280 706 6
281 704 18
282 718 10
283 719 15
284 719 13
285 6176 6
285 701 7
286 726 19
287 718 14
288 728 16
289 715 12
290 709 16
291 725 14
292 4153 10
292 704 6
293 723 21
294 726 9
295 5771 6
295 716 13
296 709 6
297 2161 11
297 706 12
298 8044 18
298 725 12
299 3395 18
299 704 9
300 697 7
301 1604 20
301 696 8
302 707 11
303 706 16
304 726 11
305 696 5
306 3003 12
306 696 19
307 704 18
308 695 13
309 2288 6
309 698 21
310 695 9
311 716 18
312 706 7
313 716 6
314 1518 14
314 711 19
315 2972 11
315 717 13
316 706 13
317 727 11
318 726 10
319 705 9
320 710 7
321 696 13
322 717 19
323 712 18
324 722 5
325 9060 17
325 717 21
326 726 17
327 5352 14
327 710 12
328 706 15
329 725 13
330 707 13
331 722 16
332 718 6
333 7953 6
333 714 7
334 705 9
335 705 18
336 2569 18
336 721 11
337 4270 7
337 699 15
338 708 13
339 4683 18
339 719 12
340 725 13
341 700 16
342 6660 19
342 716 8
343 711 17
344 4291 19
344 726 11
345 1644 16
345 713 19
346 9608 16
346 706 11
347 2071 15
347 727 5
348 9916 15
348 721 13
349 8046 19
349 715 7
350 704 13
351 9563 14
351 720 13
352 7222 10
352 714 7
353 3163 7
353 712 10
354 708 5
355 6183 17
355 725 12
356 699 15
357 5641 18
357 715 17
358 1843 8
358 705 5
359 696 12
360 716 9
361 4697 21
361 701 8
362 3935 15
362 723 13
363 7466 17
363 701 17
364 718 5
365 1686 6
365 696 17
366 700 17
367 3751 20
367 718 7
368 2101 8
368 722 19
369 703 14
370 811 14
370 719 9
371 712 11
372 712 8
373 712 8
374 708 11
375 711 10
376 9690 17
376 699 17
377 713 8
378 723 14
379 713 10
380 696 8
381 727 12
382 728 18
383 707 16
384 706 18
385 4839 5
385 718 6
386 7248 21
386 710 14
387 711 9
388 718 15
389 711 21
390 8051 12
390 713 8
391 703 10
392 5474 20
392 702 19
393 707 7
394 722 6
395 705 19
396 719 13
397 5613 7
397 702 20
398 716 20
399 720 21
400 726 19
401 4559 9
401 711 12
402 710 18
403 714 8
404 714 11
405 6175 17
405 708 13
406 728 17
407 709 6
408 696 15
409 719 13
410 717 18
411 706 9
412 703 5
413 703 14
414 728 6
415 1311 16
415 699 17
416 707 5
417 724 5
418 7644 20
418 695 12
419 722 13
420 696 17
421 712 14
422 696 12
423 717 13
424 700 15
425 727 12
426 698 13
427 702 12
428 721 18
429 713 9
430 695 9
431 697 5
432 708 9
433 723 8
434 717 6
435 1939 21
435 716 5
436 722 10
437 711 12
438 710 18
439 5341 5
439 726 12
440 702 20
441 721 19
442 2092 9
442 715 10
443 5785 20
443 703 7
444 707 21
445 714 11
446 715 18
447 715 5
448 714 6
449 720 11
450 695 8
451 698 21
452 2053 19
452 718 6
453 726 17
454 722 8
455 708 15
456 7546 8
456 709 18
457 699 17
458 703 18
459 723 5
460 698 9
461 719 7
462 715 10
463 695 8
464 724 7
465 719 16
466 2662 19
466 723 20
467 7469 21
467 722 5
468 699 9
469 702 6
470 7038 12
470 712 11
471 6814 20
471 727 19
472 701 20
473 723 9
474 4413 21
474 705 6
475 5781 13
475 716 9
476 9879 13
476 695 13
477 699 16
478 4699 15
478 718 20
479 719 21
480 697 12
481 726 18
482 726 11
483 708 17
484 717 19
485 712 18
486 2066 17
486 701 9
487 3885 7
487 707 8
488 696 15
489 702 9
490 699 18
491 726 11
492 701 9
493 3045 11
493 711 7
494 8427 8
494 727 6
495 718 6
496 856 16
496 716 18
497 4644 17
497 708 16
498 721 18
499 706 8
500 703 15
501 711 6
502 4946 11
502 703 15
503 699 9
504 695 7
505 708 17
506 707 9
507 719 11
508 725 6
509 720 11
510 9825 8
510 713 15
511 697 20
512 5681 13
512 714 18
513 707 13
514 719 11
515 709 17
516 709 17
517 719 6
518 711 14
519 9494 5
519 707 21
520 8832 10
520 701 21
521 715 20
522 718 5
523 725 7
524 702 9
525 696 5
526 705 17
527 722 16
528 714 18
529 711 21
530 719 20
531 717 9
532 698 13
533 713 15
534 713 10
535 700 9
536 705 20
537 721 8
538 702 17
539 707 20
540 3100 10
540 725 8
541 726 10
542 706 14
543 708 19
544 718 14
545 698 5
546 722 18
547 1507 12
547 701 14
548 697 18
549 704 10
550 705 9
551 705 11
552 718 13
553 5469 7
553 722 6
554 714 12
555 705 14
556 712 20
557 706 14
558 712 14
559 697 21
560 695 13
561 728 20
562 727 20
563 701 18
564 701 12
565 718 20
566 705 16
567 710 6
568 706 16
569 4049 11
569 702 9
570 2353 15
570 699 17
571 695 6
572 720 12
573 701 10
574 716 21
575 703 6
576 724 12
577 9067 9
577 724 11
578 701 14
579 4393 18
579 726 5
580 5127 13
580 695 19
581 712 17
582 3029 12
582 699 11
583 703 6
584 727 6
585 703 8
586 720 12
587 713 7
588 709 9
589 6788 20
589 723 12
590 705 10
591 728 13
592 714 13
593 721 18
594 2137 16
594 720 19
595 716 12
596 716 14
597 712 21
598 708 20
599 710 20
600 708 8
601 698 11
602 4645 21
602 696 17
603 2372 6
603 721 17
604 713 7
605 705 17
606 8031 8
606 714 11
607 714 13
608 718 21
609 717 20
610 697 9
611 709 19
612 723 13
613 714 18
614 707 16
615 723 15
616 715 11
617 721 5
618 706 20
619 699 17
620 3735 13
620 697 14
621 704 11
622 1386 9
622 712 19
623 709 20
624 722 14
625 5413 19
625 709 5
626 717 10
627 702 17
628 720 18
629 1634 19
629 706 7
630 718 16
631 704 14
632 697 6
633 723 15
634 4738 9
634 711 11
635 707 6
636 8739 11
636 712 19
637 9530 7
637 724 5
638 700 15
639 701 7
640 717 8
641 695 6
642 709 17
643 9289 10
643 709 19
644 5443 12
644 696 21
645 713 15
646 696 14
647 725 6
648 695 8
649 702 7
650 715 12
651 9888 6
651 712 12
652 724 8
653 698 7
654 715 19
655 701 13
656 697 9
657 2517 6
657 703 9
658 716 15
659 721 11
660 724 17
661 717 21
662 705 19
663 727 14
664 718 12
665 723 19
666 7527 7
666 701 6
667 708 5
668 695 5
669 704 10
670 4383 8
670 706 7
671 715 9
672 8724 10
672 705 17
673 727 12
674 717 8
675 709 15
676 725 18
677 8085 18
677 705 7
678 695 8
679 724 6
680 695 9
681 718 16
682 715 18
683 701 21
684 704 13
685 695 20
686 726 8
687 724 13
688 5771 15
688 701 5
689 713 5
690 703 16
691 707 21
692 712 20
693 723 8
694 8918 13
694 725 11
695 1133 10
695 735 8
695 751 16
695 759 9
695 848 18
695 877 13
695 912 10
695 925 5
695 971 5
695 1105 19
695 1245 14
695 1251 7
695 1280 12
696 894 20
696 737 6
696 780 6
696 793 18
696 849 14
696 853 7
696 857 21
696 908 18
696 931 17
696 1012 15
696 1020 9
696 1210 6
696 1230 5
696 1232 16
696 1255 17
696 1263 14
697 5070 20
697 1201 8
697 788 17
697 796 14
697 817 5
697 819 17
697 863 10
697 873 11
697 882 12
697 899 9
697 910 7
697 952 11
697 1031 15
697 1046 5
697 1140 19
697 1215 21
698 5021 17
698 992 6
698 768 11
698 776 17
698 799 19
698 818 15
698 868 18
698 922 18
698 930 7
698 932 15
698 961 21
698 994 19
698 995 16
698 1033 9
698 1088 19
698 1113 11
698 1121 16
698 1154 13
698 1178 15
698 1182 21
698 1222 6
699 1010 9
699 900 6
699 967 17
699 996 13
699 997 20
699 998 9
699 1026 18
699 1042 7
699 1058 5
699 1072 14
699 1093 18
699 1097 11
699 1104 19
699 1206 13
699 1217 7
699 1231 5
699 1249 7
699 1259 6
699 1289 12
700 1298 8
700 736 8
700 762 7
700 774 17
700 778 10
700 784 18
700 866 9
700 867 9
700 903 5
700 935 19
700 941 18
700 946 21
700 955 14
700 957 11
700 981 21
700 988 12
700 1034 10
700 1074 7
700 1197 10
700 1209 16
700 1264 21
700 1296 8
700 1306 19
701 985 8
701 785 14
701 794 8
701 923 19
701 1013 20
701 1041 11
701 1125 11
701 1137 9
701 1173 15
701 1207 16
701 1261 17
701 1267 8
702 827 9
702 730 13
702 760 13
702 786 14
702 980 12
702 1023 11
702 1085 9
702 1148 11
702 1184 11
702 1219 16
702 1244 15
703 4677 12
703 933 11
703 805 10
703 815 19
703 880 17
703 913 10
703 916 11
703 950 16
703 1005 17
703 1008 17
703 1054 14
703 1111 19
703 1167 17
703 1211 21
703 1277 20
703 1290 21
703 1303 6
704 1859 14
704 746 17
704 740 13
704 779 15
704 816 8
704 823 5
704 826 17
704 829 8
704 1004 7
704 1079 8
704 1195 18
704 1235 9
704 1301 21
705 871 17
705 750 20
705 775 6
705 791 13
705 940 12
705 942 13
705 1009 11
705 1014 6
705 1065 13
705 1076 9
705 1116 16
705 1153 7
705 1208 12
705 1293 6
705 1307 11
706 1295 20
706 845 21
706 879 8
706 926 10
706 934 10
706 960 11
706 1075 6
706 1091 11
706 1102 17
706 1165 6
706 1186 15
706 1220 9
706 1284 15
706 1297 16
706 1304 7
707 6913 17
707 851 13
707 771 10
707 772 11
707 810 14
707 814 8
707 831 18
707 958 6
707 965 19
707 966 13
707 969 9
707 989 18
707 1038 16
707 1071 9
707 1135 16
707 1145 7
707 1149 20
708 773 18
708 738 15
708 761 19
708 847 14
708 885 14
708 890 17
708 959 12
708 963 5
708 993 14
708 1006 16
708 1070 18
708 1106 16
708 1159 19
708 1223 12
709 789 21
709 739 13
709 824 20
709 828 8
709 836 20
709 855 8
709 870 6
709 938 16
709 948 10
709 977 21
709 1002 12
709 1016 21
709 1027 8
709 1062 12
709 1123 21
709 1136 21
709 1142 17
709 1164 19
709 1169 15
709 1171 21
709 1176 19
709 1200 14
709 1233 17
709 1243 5
709 1262 10
709 1265 14
709 1278 6
709 1282 17
709 1310 21
710 4672 15
710 835 7
710 731 15
710 820 19
710 862 14
710 864 19
710 865 12
710 888 15
710 893 17
710 944 16
710 973 13
710 976 6
710 1015 18
710 1017 15
710 1019 21
710 1030 19
710 1036 14
710 1151 16
710 1194 17
710 1240 20
710 1257 21
710 1291 13
711 1616 18
711 1302 17
711 770 15
711 859 14
711 875 18
711 895 21
711 906 10
711 949 17
711 956 6
711 987 7
711 1056 13
711 1089 20
711 1117 12
711 1146 12
711 1224 18
711 1234 9
711 1253 14
712 4781 21
712 1035 21
712 733 16
712 869 6
712 954 17
712 978 8
712 1011 8
712 1045 6
712 1098 5
712 1099 19
712 1114 15
712 1132 10
712 1181 10
712 1189 6
712 1191 11
712 1199 19
712 1202 10
712 1279 5
712 1285 12
713 883 17
713 741 16
713 743 16
713 754 18
713 852 20
713 858 7
713 860 11
713 905 12
713 943 14
713 951 20
713 979 7
713 982 7
713 986 6
713 1024 14
713 1037 9
713 1052 18
713 1057 14
713 1100 11
713 1103 16
713 1143 16
713 1150 8
713 1158 14
713 1213 21
713 1274 19
713 1299 21
714 1273 5
714 764 10
714 787 5
714 809 17
714 891 14
714 896 13
714 909 17
714 947 8
714 1067 18
714 1086 9
714 1096 9
714 1108 16
714 1177 18
714 1185 14
714 1227 8
715 729 12
715 755 20
715 806 10
715 843 13
715 876 21
715 887 6
715 939 16
715 968 8
715 999 8
715 1000 9
715 1025 16
715 1122 20
715 1130 5
715 1172 18
715 1238 18
715 1266 12
715 1281 21
716 821 12
716 732 10
716 753 21
716 800 5
716 889 6
716 898 11
716 920 14
716 1029 7
716 1068 15
716 1080 12
716 1081 10
716 1092 11
716 1094 18
716 1187 15
716 1193 17
716 1225 10
716 1226 19
716 1246 16
716 1286 19
717 1300 12
717 747 15
717 832 5
717 902 13
717 911 20
717 1043 9
717 1047 20
717 1049 20
717 1060 16
717 1084 13
717 1190 6
717 1241 15
717 1254 15
718 1252 6
718 749 11
718 798 7
718 801 6
718 804 5
718 830 19
718 839 16
718 972 20
718 1039 15
718 1095 12
718 1161 19
718 1175 14
718 1239 6
718 1247 10
718 1287 21
719 6727 15
719 1221 9
719 783 19
719 841 21
719 874 7
719 907 15
719 1055 20
719 1073 21
719 1082 20
719 1109 10
719 1180 10
719 1183 6
719 1236 15
719 1270 6
719 1305 15
720 1050 19
720 767 13
720 777 9
720 795 6
720 802 10
720 838 16
720 854 6
720 984 5
720 1007 18
720 1021 19
720 1061 16
720 1064 16
720 1110 14
720 1120 5
720 1157 16
720 1168 15
720 1179 6
720 1198 10
720 1204 21
720 1294 18
720 1308 21
721 1069 12
721 742 12
721 757 7
721 758 19
721 917 11
721 975 5
721 983 5
721 1063 8
721 1066 11
721 1077 15
721 1087 20
721 1101 17
721 1119 11
721 1162 11
721 1212 12
721 1275 21
722 6797 19
722 974 18
722 844 5
722 872 10
722 918 8
722 929 14
722 953 6
722 1051 12
722 1090 9
722 1112 6
722 1127 20
722 1134 12
722 1141 19
722 1203 9
722 1248 13
722 1269 19
722 1309 16
723 1218 7
723 846 11
723 881 18
723 886 20
723 927 20
723 991 20
723 1032 11
723 1156 9
723 1174 11
723 1188 10
723 1214 7
723 1228 17
723 1256 10
723 1271 10
723 1272 20
724 1283 20
724 756 14
724 765 6
724 769 13
724 813 16
724 822 17
724 840 18
724 878 15
724 901 14
724 904 5
724 945 21
724 990 8
724 1001 6
724 1028 8
724 1059 18
724 1115 11
724 1138 21
724 1147 7
724 1163 7
724 1229 16
724 1260 8
724 1276 9
725 1053 11
725 781 13
725 790 11
725 792 6
725 842 21
725 850 16
725 884 14
725 1003 18
725 1040 21
725 1107 9
725 1242 14
725 1288 16
726 1126 9
726 766 20
726 797 7
726 825 9
726 833 20
726 834 15
726 861 20
726 892 13
726 914 20
726 915 8
726 921 9
726 937 17
726 962 7
726 970 19
726 1022 15
726 1048 10
726 1083 10
726 1128 21
726 1129 18
726 1139 6
726 1144 7
726 1196 15
726 1205 10
726 1216 5
726 1292 7
727 928 11
727 744 16
727 752 9
727 782 6
727 803 6
727 808 17
727 812 21
727 837 18
727 897 16
727 919 17
727 1131 5
727 1152 5
727 1166 9
727 1192 5
727 1237 5
727 1250 5
728 1268 8
728 734 6
728 745 11
728 807 13
728 924 11
728 936 17
728 964 10
728 1018 10
728 1044 6
728 1078 21
728 1124 5
728 1155 9
728 1160 13
728 1170 18
728 1258 9
729 2051 16
730 1730 9
730 1513 11
730 1661 6
730 2002 11
730 2171 8
731 1921 18
732 1588 18
733 2123 19
733 1440 21
734 1713 13
735 2100 8
736 1326 6
737 5066 15
737 1745 6
737 1826 9
738 6711 9
738 2149 6
738 1323 6
738 1781 5
738 1979 8
739 1940 7
740 1959 5
740 1865 14
741 1802 14
741 2078 17
742 1697 7
743 2015 5
743 1840 13
744 1809 19
744 1460 14
745 1432 6
745 1501 15
745 1964 18
745 2085 18
746 1915 21
747 2018 15
748 1727 17
749 1649 12
749 1349 6
750 2889 17
750 1869 20
750 1345 12
750 1776 7
751 1924 12
751 1319 19
752 6363 10
752 2148 14
752 1520 11
753 1439 21
753 1821 15
754 1783 11
755 8896 21
755 1792 20
755 2080 14
756 1506 8
757 1631 19
757 1893 8
758 1843 15
758 1489 8
758 1565 6
759 2135 14
759 1879 16
760 1620 20
760 1650 21
760 2147 18
761 1898 9
762 1328 19
762 1774 8
762 1784 7
763 1444 8
763 1883 8
763 1912 6
764 2524 11
764 1764 20
764 2025 8
764 2121 7
765 8404 10
765 1798 17
765 1445 14
766 1384 16
767 9821 11
767 1398 19
767 1409 18
767 1569 17
767 1973 9
768 9645 7
768 1470 14
769 1933 19
770 1474 14
770 1590 15
771 3639 20
771 1986 13
772 2050 18
772 1578 18
772 1617 14
773 1477 6
774 1801 6
775 1822 16
775 1571 10
775 1881 9
776 1574 12
777 2063 7
777 1909 6
777 2152 12
778 1802 7
778 1482 16
779 1831 7
780 2018 10
780 1541 12
781 1529 16
782 1546 9
783 3227 7
783 1684 12
783 1807 10
784 2011 17
785 2140 10
786 5663 10
786 1341 9
787 1945 5
788 1713 21
788 2060 7
789 1926 6
789 2103 8
790 1968 6
790 1700 20
790 1845 19
791 2093 21
792 1600 7
793 1641 11
793 1400 17
793 1955 16
794 1377 17
795 2140 12
795 1537 8
795 1752 14
796 9781 21
796 1994 19
796 2163 8
797 8517 19
797 1538 7
798 1634 8
798 1712 14
798 2142 12
799 1773 5
800 4621 18
800 1547 14
801 1834 14
802 1977 5
